ID,DIVISION,SUBJECT,WRITER,VIEWS
2247030,XBO소프트,더 게이머)보더랜드 3 PS 플랫폼 제외한 모든 플랫폼 크로스 플레이 지... (27),틸로볼프,47
2247029,XBO소프트,엑스박스 공식)에이팩스 레전드 제네시스 컬렉션 이벤트 영상 (1),틸로볼프,6
2247021,루머,[루머]소니 이벤트에서 갓오브워 게임플레이 볼 수 있을 것. (29),고무장갑펭귄,19
2247014,PS5소프트,파이널판타지 VII 리메이크 인터그레이드 컨셉아트 (26),둠 닥터,13
,,,,
2247015,NS소프트,진 여신전생 5 한국어 공식 악마 소개 영상 Vol.010 (봉황) (38),nokcha,15
2246938,정보,[포켓몬]『포켓몬스터 소드 · 실드』 와일드에리어 뉴스(21.06.25),Oh! RoChi!,4
2246939,NS소프트,나유타의 궤적: Kai 닌텐도 스위치판 발매 결정 (16),nokcha,8
2237470,PS5하드,,Ruliweb100,47
2246929,NS하드,전차로 GO!! 전용 원 핸들 컨트롤러 for 닌텐도 스위치 발매 (20),nokcha,12
2246920,XSX소프트,더 게이머)다잉라이트 2 7월 스트리밍 영상 공개 예정,틸로볼프,4
2246924,PS5소프트,"쉬벌리 2 메타크리틱, 오픈크리틱 (정발 6월 22일) (37)",Winter Love,10
2246936,PS4소프트,북미 NGPX 주최 니혼팔콤 40주년 기념 온라인 이벤트 (5),roness,7
2246917,NS소프트,"닌자라, 귀멸의 칼날 콜라보 실시 예정 (6)",nokcha,9
2246927,PS4소프트,풍우래기 4 플레이 영상 (기후역 ~ 츠케치 계곡) (30),nokcha,3
2246923,PS4소프트,IGN)성검전설 레전드 오브 마나 리뷰 영상 (29),틸로볼프,6
2246926,NS소프트,영웅전설 시작의 궤적 오피셜 플레이 무비 (8),키쿠치요,2
2246919,기타,윈도우11 엑스박스앱에서 클라우드 플레이 지원 예정 (56),ᵐᵃᵈ ᵈᵒᵍ,36
2246935,XSX소프트,엑스박스 게임 쇼케이스 2021 추가확장방송 실시간 댓글생중계 정리본 (29),블레이더영혼,94
2246922,NS소프트,AIR 스위치판 9월 9일 발매 및 스크린샷 공개 (38),Zephiris,1
2246932,XSX소프트,아바타 프론티어 오브 판도라 스노우드롭엔진 시연 영상 (2),둠 닥터,10
2246925,PS4소프트,영웅전설 여의 궤적 팔콤 샵 오리지널 특전 이미지? (8),키쿠치요,12
2246916,PS4소프트,R-Type 파이널2 - 500달러 이상 지원자 특전 기체 전달 (15),c-r-a-c-k-ER,7
2246918,PS5소프트,게임스팟 스칼렛 스트링스 리뷰 (20),아마존슨,13
2246930,기타,게임 패스 현재 총 게임 수는 423개 (123),play that,64
2246931,PS5소프트,아바타: 프론티어 오브 판도라 스노우드롭 엔진 시연영상 (한국어 자막) (19),nokcha,14
2246928,PS5소프트,테일즈 오브 어라이즈 매장별 예약 특전 실물 이미지 (17),키쿠치요,8
2246933,정보,타이토 미니 게임기 'EGRET II 미니' 수록 타이틀 3탄 공개 (26),nokcha,10
2246911,NS소프트,마리오 골프 슈퍼 러시 스샷 모음 (10),Winter Love,8
2246913,기타,게임 패스 등록게임 메타 점수 분포도 (82),play that,37
2246934,XSX소프트,테트리스 이펙트 커넥티드. 크로스 플레이 베타 테스트 실시 (6),중고플스,8
2246921,루머,PSX 이벤트 7월 8일 개최?? (13),TESTRUN,16
2246912,NS소프트,몬스터 헌터 스토리즈 2 아미보 3종 실물 이미지 (7),nokcha,4
2246915,PS5소프트,휴먼 폴 플랫 PS5 한국어판 오늘 출시 및 PS5판 햅틱 피드백 지원 (17),nokcha,12
2246914,NS소프트,몬스터 헌터 스토리즈 2 파멸의 날개- 체험판 전달 기념 캠페인 실시 (3),둠 닥터,2
